audioUrl,author,authorLink,duration,id,imageUrl,shareUrl,sourceFile,tags,title,url,videoUrl
https://cdn1.suno.ai/c9fe6d40-d68c-474c-8a38-e60d48274167.mp3,,,,c9fe6d40-d68c-474c-8a38-e60d48274167,,https://suno.com/s/c9fe6d40,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)228,https://suno.com/song/c9fe6d40-d68c-474c-8a38-e60d48274167,
https://cdn1.suno.ai/62d9a2c6-6108-4ea5-9a19-2adc137c49cb.mp3,,,,62d9a2c6-6108-4ea5-9a19-2adc137c49cb,,https://suno.com/s/62d9a2c6,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)158,https://suno.com/song/62d9a2c6-6108-4ea5-9a19-2adc137c49cb,
https://cdn1.suno.ai/d3280bd9-a84b-4050-b2eb-b223b46d7290.mp3,,,,d3280bd9-a84b-4050-b2eb-b223b46d7290,,https://suno.com/s/d3280bd9,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)143,https://suno.com/song/d3280bd9-a84b-4050-b2eb-b223b46d7290,
https://cdn1.suno.ai/f17e7848-00df-488f-ae8f-153488822976.mp3,,,,f17e7848-00df-488f-ae8f-153488822976,,https://suno.com/s/f17e7848,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)304,https://suno.com/song/f17e7848-00df-488f-ae8f-153488822976,
https://cdn1.suno.ai/03ae28e0-7ef5-4729-9a00-6ea08d46d05b.mp3,,,,03ae28e0-7ef5-4729-9a00-6ea08d46d05b,,https://suno.com/s/03ae28e0,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)237,https://suno.com/song/03ae28e0-7ef5-4729-9a00-6ea08d46d05b,
https://cdn1.suno.ai/fd50cd3a-ff10-4d9c-a57c-756b4c6dff8a.mp3,,,,fd50cd3a-ff10-4d9c-a57c-756b4c6dff8a,,https://suno.com/s/fd50cd3a,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered)232,https://suno.com/song/fd50cd3a-ff10-4d9c-a57c-756b4c6dff8a,
https://cdn1.suno.ai/c125b02e-7c9c-4931-ae75-60691d928919.mp3,,,,c125b02e-7c9c-4931-ae75-60691d928919,,https://suno.com/s/c125b02e,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered)214,https://suno.com/song/c125b02e-7c9c-4931-ae75-60691d928919,
https://cdn1.suno.ai/6c0ca9a8-1385-47e1-9db0-a2db5df7761c.mp3,,,,6c0ca9a8-1385-47e1-9db0-a2db5df7761c,,https://suno.com/s/6c0ca9a8,suno-songs.html,,in_this_alley_where_i_Hide LIVE_-_CuT-og304,https://suno.com/song/6c0ca9a8-1385-47e1-9db0-a2db5df7761c,
https://cdn1.suno.ai/95bbd684-89ef-48e4-a4f0-9d386f5cea3e.mp3,,,,95bbd684-89ef-48e4-a4f0-9d386f5cea3e,,https://suno.com/s/95bbd684,suno-songs.html,,in_this_alley_where_i_Hide LIVE_-_CuT-og312,https://suno.com/song/95bbd684-89ef-48e4-a4f0-9d386f5cea3e,
https://cdn1.suno.ai/c47d71ae-198f-460a-a0cf-ce88cf976a3a.mp3,,,,c47d71ae-198f-460a-a0cf-ce88cf976a3a,,https://suno.com/s/c47d71ae,suno-songs.html,,Willow_whispers-feelers-chill (Remastered x2)349-2,https://suno.com/song/c47d71ae-198f-460a-a0cf-ce88cf976a3a,
https://cdn1.suno.ai/c24717e8-7f5e-4c31-841e-1b686ede8254.mp3,,,,c24717e8-7f5e-4c31-841e-1b686ede8254,,https://suno.com/s/c24717e8,suno-songs.html,,Willow_whispers-feelers-chill (Remastered x2)349,https://suno.com/song/c24717e8-7f5e-4c31-841e-1b686ede8254,
https://cdn1.suno.ai/9af9de4f-bac3-4463-857c-fc7f5ea7a988.mp3,,,,9af9de4f-bac3-4463-857c-fc7f5ea7a988,,https://suno.com/s/9af9de4f,suno-songs.html,,No More Love Songs - Encore (Remastered),https://suno.com/song/9af9de4f-bac3-4463-857c-fc7f5ea7a988,
https://cdn1.suno.ai/d2e6e4ac-eb37-474f-aa9d-c2c61e8bc747.mp3,,,,d2e6e4ac-eb37-474f-aa9d-c2c61e8bc747,,https://suno.com/s/d2e6e4ac,suno-songs.html,,No More Love Songs - Encore (Remastered),https://suno.com/song/d2e6e4ac-eb37-474f-aa9d-c2c61e8bc747,
https://cdn1.suno.ai/3365494b-6cd9-4c0f-8e72-ce9b535a66f7.mp3,,,,3365494b-6cd9-4c0f-8e72-ce9b535a66f7,,https://suno.com/s/3365494b,suno-songs.html,,Sammy's Serenade (Remastered x2) LadyGroup,https://suno.com/song/3365494b-6cd9-4c0f-8e72-ce9b535a66f7,
https://cdn1.suno.ai/0807008d-9055-4136-b2b5-a006a74c1886.mp3,,,,0807008d-9055-4136-b2b5-a006a74c1886,,https://suno.com/s/0807008d,suno-songs.html,,Sammy's Serenade (Remastered x2)2,https://suno.com/song/0807008d-9055-4136-b2b5-a006a74c1886,
